rel_time,coefficient,std_error,t_value,p_value,ci_lower,ci_upper
-16,0.7520215382299303,0.6868283859680696,1.0949191291358356,0.27913148757889994,-0.6296989518016599,2.1337420282615205
-15,1.0698411011845597,0.4218409041360237,2.5361246164017954,0.014591274501719376,0.22120666398572641,1.918475538383393
-14,1.1247547456230393,0.5292317227036476,2.1252594985748146,0.0388505774712915,0.06007784790911419,2.1894316433369645
-13,0.534069493568943,0.4585383350009125,1.1647215789883307,0.2500095492365162,-0.3883906520505843,1.4565296391884703
-12,0.039904895255873936,0.49467632085003,0.08066869905416763,0.9360479605403587,-0.9552555005809159,1.0350652910926639
-11,-0.1574099282566443,0.6066384974472969,-0.25947896303814716,0.7963989386021093,-1.3778091707595228,1.062989314246234
-10,0.24324164587291267,0.7578384093687697,0.3209676929353808,0.7496577750595983,-1.2813325851147646,1.76781587686059
-9,0.026257439336893115,0.6106480503953922,0.042999301021089856,0.9658842522028879,-1.2022079832736132,1.2547228619473993
-8,0.1963498816391035,0.7005778582916479,0.28026846597450383,0.7805014806656922,-1.2130309789082352,1.6057307421864424
-7,0.334193471857814,0.590438428758771,0.5660090122527438,0.574080334877026,-0.8536154361391516,1.5220023798547797
-6,0.23303088811058398,0.6082901220970265,0.3830916854398861,0.7033790481418443,-0.99069099461363,1.456752770834798
-5,0.592878495250975,0.6030139440528233,0.9831920158699342,0.3305473002763666,-0.6202290863440639,1.8059860768460139
-4,0.008458357206804372,0.540654599036552,0.015644659680833544,0.9875841005610579,-1.0791984036093494,1.0961151180229582
-3,-0.24288634974712123,0.49727458647862566,-0.4884350746075402,0.627512941391676,-1.2432737818143884,0.757501082320146
-2,-0.5701109302498402,0.45483276955336777,-1.2534517484517929,0.21624093312323067,-1.4851164397322645,0.34489457923258415
-1,0.05943919112735167,0.2366725622342247,0.25114525556421385,0.8027966034673355,-0.4166845908074675,0.5355629730621708
0,0.0,0.0,,,0.0,0.0
1,0.33296669687928887,0.27581185757327487,1.2072240106313403,0.2333864480663983,-0.22189519116793216,0.88782858492651
2,0.6223947327708377,0.39781501707885725,1.5645330267848157,0.12440138496952735,-0.17790585405679815,1.4226953195984735
3,0.34482034056134675,0.3296234969133273,1.0461036418529817,0.30086353454378223,-0.31829660245647223,1.0079372835791658
4,0.3368358859461529,0.32367763289008317,1.040652339608953,0.30336077129149297,-0.3143195215269776,0.9879912934192834
5,0.0757875637778934,0.37490971779885635,0.2021488379198385,0.8406728441688538,-0.6784335045090594,0.8300086320648462
6,0.21772443574853134,0.4089886890324346,0.5323483059240908,0.5969926233842471,-0.6050546796352421,1.0405035511323049
7,-0.0014063581605546559,0.6589160693269942,-0.002134350983412935,0.9983060692165573,-1.32697450997324,1.3241617936521308
8,0.21781437036044565,0.7058588036215514,0.3085806527352283,0.7590041881648388,-1.202190381857852,1.6378191225787433
9,0.5563155198216182,0.39233912661320663,1.4179455529299532,0.16280304106356747,-0.23296899630752177,1.345600035950758
10,0.0022688061893883526,0.40408751727696324,0.005614640622103908,0.9955439527035488,-0.8106504234091553,0.8151880357879321
11,0.14695969233266046,0.4601091720718553,0.3194017882123631,0.7508372399092293,-0.778660569862951,1.072579954528272
12,0.2627208804690952,0.5136646698919175,0.5114637931481164,0.6114209794631644,-0.7706391464241016,1.296080907362292
13,-0.4662829157583235,0.5999102069245944,-0.7772545130523723,0.4409033753414675,-1.6731465836285373,0.7405807521118903
14,-0.29772792054500763,0.6013933047769245,-0.4950635768308797,0.6228618461245081,-1.5075751964505795,0.9121193553605642
15,-0.3761309359147176,0.625153476213824,-0.6016617522351709,0.5502906617872885,-1.6337775113130648,0.8815156394836297
16,0.07207861050058917,0.47571402423964504,0.15151668193048468,0.8802166520841015,-0.8849345650117286,1.029091786012907
