term,l,estimate,se,tval,pval
ln_gdp_l4,NA,-1.3643833707815276,0.6134203923286153,-2.2242223894810036,0.03097432530168064
host,NA,-0.541521842501443,0.48409094630874183,-1.1186365839531174,0.2689801062833167
rel_time_bin::-16:is_winner,-16,0.7712326391236515,0.6705709158491396,1.1501134643560325,0.25591560897327054
rel_time_bin::-15:is_winner,-15,0.49944055684586525,0.47919193606307964,1.0422557627933875,0.3026247727098594
rel_time_bin::-14:is_winner,-14,0.3921357821521272,0.6226548605404558,0.6297803277593605,0.5318881425704061
rel_time_bin::-13:is_winner,-13,0.3804891118274747,0.44357584814069806,0.8577768907444825,0.3953688207281275
rel_time_bin::-12:is_winner,-12,0.018909584631749687,0.48457088984309343,0.039023360726173024,0.9690370544456474
rel_time_bin::-11:is_winner,-11,-0.17762618615144599,0.5899071074355465,-0.30110874053310754,0.7646597067003194
rel_time_bin::-10:is_winner,-10,0.21845652380248543,0.7295460912400845,0.29944170275952325,0.7659232758238302
rel_time_bin::-9:is_winner,-9,0.043201484726099526,0.5808588982639951,0.07437517933394014,0.9410275136570906
rel_time_bin::-8:is_winner,-8,0.21865579528826798,0.664587091585559,0.3290099944111211,0.7436097559598651
rel_time_bin::-7:is_winner,-7,0.34756793437437294,0.5557213827972143,0.625435596206314,0.5347104515644461
rel_time_bin::-6:is_winner,-6,0.24973896200048493,0.5753220144003824,0.4340855307975139,0.6662125855425103
rel_time_bin::-5:is_winner,-5,0.6148621588830918,0.5640433051935629,1.0900974326290236,0.28122771992777695
rel_time_bin::-4:is_winner,-4,0.07283938845065105,0.515007559275256,0.14143362973769594,0.8881318797548837
rel_time_bin::-3:is_winner,-3,-0.18792493228410587,0.48096076519826164,-0.3907281963148064,0.6977636757408252
rel_time_bin::-2:is_winner,-2,-0.511651633034091,0.453008749697136,-1.1294519882367864,0.2644388509466403
rel_time_bin::-1:is_winner,-1,0.07109728779971136,0.22657770914387837,0.3137876539945247,0.7550708207879351
rel_time_bin::1:is_winner,1,0.32514635596705516,0.26853133357023834,1.2108320904085792,0.2320134275631851
rel_time_bin::2:is_winner,2,0.5968107713569717,0.38674188097523626,1.5431759545979622,0.12949509181700009
rel_time_bin::3:is_winner,3,0.3045478332958725,0.31936410072420096,0.9536069727476237,0.34516155776145563
rel_time_bin::4:is_winner,4,0.2874786289048723,0.31942080645940707,0.8999996966115166,0.3727087922270673
rel_time_bin::5:is_winner,5,0.04184587881152363,0.38012074083238007,0.11008575517318639,0.9128100887421737
rel_time_bin::6:is_winner,6,0.18753102056559628,0.406956840581277,0.4608130441983387,0.647058015167008
rel_time_bin::7:is_winner,7,-0.044250705325787766,0.6590856208377194,-0.06713953988184976,0.9467554195232917
rel_time_bin::8:is_winner,8,0.06569341428056612,0.7750457340919122,0.08476069397057745,0.9328116679657594
rel_time_bin::9:is_winner,9,0.48603849747001204,0.38104536153377094,1.275539729741431,0.20838685454804384
rel_time_bin::10:is_winner,10,-0.051201945524322175,0.39419751635403777,-0.12988906170158754,0.897208513760589
rel_time_bin::11:is_winner,11,0.10988000505334247,0.44081852214832334,0.24926358474649318,0.8042430415467332
rel_time_bin::12:is_winner,12,0.213359117784308,0.482918904805325,0.44181148358712036,0.6606518384292854
rel_time_bin::13:is_winner,13,-0.44522259717079216,0.5849824903655467,-0.761087048763766,0.4504069354862731
rel_time_bin::14:is_winner,14,-0.27641474290480617,0.5889301892536913,-0.4693506088643318,0.6409891898074385
rel_time_bin::15:is_winner,15,-0.37729927662107104,0.6149567621606383,-0.6135378937788042,0.5424788409751972
rel_time_bin::16:is_winner,16,0.0730121179367652,0.4626251895588152,0.15782131968731222,0.8752737079629591
