term,l,repl_coeff,repl_se,repl_stars,mello_coeff,mello_se,mello_stars,diff
ln_gdp_l4,NA,-1.3643833707815276,0.6134203923286153,**,-1.368,0.588,**,0.0036166292184725
host,NA,-0.541521842501443,0.48409094630874183,,-0.591,0.545,,0.049478157498556996
NA,-16,0.7712326391236515,0.6705709158491396,,0.64,0.673,,0.13123263912365146
NA,-15,0.4994405568458653,0.4791919360630797,,0.363,0.538,,0.1364405568458653
NA,-14,0.3921357821521272,0.6226548605404558,,0.276,0.655,,0.11613578215212716
NA,-13,0.3804891118274747,0.44357584814069806,,0.286,0.474,,0.09448911182747471
NA,-12,0.01890958463174968,0.48457088984309343,,-0.082,0.503,,0.10090958463174968
NA,-11,-0.17762618615144601,0.5899071074355465,,-0.226,0.604,,0.04837381384855399
NA,-10,0.21845652380248545,0.7295460912400845,,0.074,0.769,,0.14445652380248547
NA,-9,0.04320148472609952,0.5808588982639951,,-0.139,0.616,,0.18220148472609954
NA,-8,0.218655795288268,0.664587091585559,,0.098,0.695,,0.120655795288268
NA,-7,0.34756793437437294,0.5557213827972143,,0.209,0.57,,0.13856793437437295
NA,-6,0.24973896200048493,0.5753220144003824,,0.196,0.589,,0.05373896200048492
NA,-5,0.6148621588830918,0.5640433051935629,,0.484,0.621,,0.13086215888309183
NA,-4,0.07283938845065105,0.515007559275256,,-0.107,0.535,,0.17983938845065106
NA,-3,-0.18792493228410587,0.4809607651982616,,-0.288,0.479,,0.10007506771589411
NA,-2,-0.511651633034091,0.453008749697136,,-0.605,0.432,,0.09334836696590898
NA,-1,0.07109728779971136,0.22657770914387837,,0.125,0.206,,-0.05390271220028864
NA,1,0.32514635596705516,0.26853133357023834,,0.454,0.246,*,-0.12885364403294486
NA,2,0.5968107713569717,0.38674188097523626,,0.683,0.37,*,-0.08618922864302836
NA,3,0.3045478332958725,0.31936410072420096,,0.233,0.335,,0.07154783329587247
NA,4,0.2874786289048723,0.31942080645940707,,0.14,0.317,,0.1474786289048723
NA,5,0.04184587881152363,0.38012074083238007,,-0.189,0.357,,0.23084587881152363
NA,6,0.18753102056559628,0.406956840581277,,-0.034,0.422,,0.2215310205655963
NA,7,-0.04425070532578776,0.6590856208377194,,-0.288,0.761,,0.24374929467421222
NA,8,0.06569341428056612,0.7750457340919122,,-0.314,0.985,,0.37969341428056613
NA,9,0.486038497470012,0.38104536153377094,,0.418,0.387,,0.068038497470012
NA,10,-0.05120194552432217,0.39419751635403777,,-0.145,0.421,,0.09379805447567782
NA,11,0.10988000505334249,0.44081852214832334,,0.021,0.461,,0.08888000505334248
NA,12,0.213359117784308,0.482918904805325,,0.289,0.583,,-0.07564088221569198
NA,13,-0.44522259717079216,0.5849824903655467,,-0.593,0.606,,0.14777740282920782
NA,14,-0.27641474290480617,0.5889301892536913,,-0.32,0.628,,0.04358525709519384
NA,15,-0.37729927662107104,0.6149567621606383,,-0.412,0.676,,0.03470072337892893
NA,16,0.0730121179367652,0.4626251895588152,,-0.109,0.477,,0.1820121179367652
